number          |    site_ID          |  site_type          |  longitude          |   latitude          | site_deployment_year          |    cell_ID          | configuration          |       band          |         BW          | cell_range_km          | cell_direction_az          | cell_capacity_Mbps          | cell_throughput_Mbps          | cell_deployment_year          | owned_transmission
21		|		s39		|		shared_rent_rooftop		|		1100.00000		|		-1299.03811		|		2004		|		Eca6#33		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		330.000		|		120.162963867187500		|		1.053861578094132		|		2016		|		0
22		|		s43		|		rent_rooftop		|		-1380.00000		|		0.00000		|		2002		|		Eca6#37		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		24.462866648001352		|		2016		|		1
22		|		s43		|		rent_rooftop		|		-1380.00000		|		0.00000		|		2002		|		Eca6#38		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		3.006900545341681		|		2016		|		1
22		|		s43		|		rent_rooftop		|		-1380.00000		|		0.00000		|		2002		|		Eca6#39		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		330.000		|		120.162963867187500		|		2.023569523670144		|		2016		|		1
23		|		s44		|		rent_rooftop		|		600.00000		|		0.00000		|		2009		|		Eca6#10		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		2.717331072291976		|		2016		|		1
23		|		s44		|		rent_rooftop		|		600.00000		|		0.00000		|		2009		|		Eca6#11		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		14.527855536239922		|		2016		|		1
23		|		s44		|		rent_rooftop		|		600.00000		|		0.00000		|		2009		|		Eca6#12		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		330.000		|		120.162963867187500		|		0.569610157942595		|		2016		|		1
24		|		s46		|		shared_rent_rooftop		|		0.00000		|		649.51905		|		1995		|		Eca1#73		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		2.665925846139106		|		2015		|		0
24		|		s46		|		shared_rent_rooftop		|		0.00000		|		649.51905		|		1995		|		Eca1#74		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		1.884377321765860		|		2015		|		0
24		|		s46		|		shared_rent_rooftop		|		0.00000		|		649.51905		|		1995		|		Eca1#75		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		2.885939713331477		|		2015		|		0
25		|		s48		|		owned_rooftop		|		900.00000		|		0.00000		|		2010		|		Eca6#16		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		4.323636193217984		|		2016		|		0
25		|		s48		|		owned_rooftop		|		900.00000		|		0.00000		|		2010		|		Eca6#17		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		4.989418171469051		|		2016		|		0
25		|		s48		|		owned_rooftop		|		900.00000		|		0.00000		|		2010		|		Eca6#18		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		330.000		|		120.162963867187500		|		0.850899226088166		|		2016		|		0
26		|		s49		|		rent_rooftop		|		-1207.50000		|		-298.77876		|		1996		|		Eca1#103		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		5.527451520294425		|		2015		|		0
26		|		s49		|		rent_rooftop		|		-1207.50000		|		-298.77876		|		1996		|		Eca1#104		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		11.246790345332828		|		2015		|		0
26		|		s49		|		rent_rooftop		|		-1207.50000		|		-298.77876		|		1996		|		Eca1#105		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		3.292221417893213		|		2015		|		0
27		|		s50		|		rent_tower		|		900.00000		|		-519.61524		|		1997		|		Eca1#55		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		0.143941770388453		|		2015		|		0
